datetime,actual,forecast_d1,forecast_d,foccsi_delnet,lambda,error,squared_error
2024-05-15T01:00:00Z,0,0,0,NA,NA,NA,NA
2024-05-15T01:15:00Z,0,0,0,NA,NA,NA,NA
2024-05-15T01:30:00Z,0,0,0,NA,NA,NA,NA
2024-05-15T01:45:00Z,0,0,0,NA,NA,NA,NA
2024-05-15T02:00:00Z,0,0,0,NA,NA,NA,NA
2024-05-15T02:15:00Z,0,0,0,NA,NA,NA,NA
2024-05-15T02:30:00Z,0,0,0,NA,NA,NA,NA
2024-05-15T02:45:00Z,0,0,0,NA,NA,NA,NA
2024-05-15T03:00:00Z,0,0,0,NA,NA,NA,NA
2024-05-15T03:15:00Z,0,0,0,NA,NA,NA,NA
2024-05-15T03:30:00Z,0,0,0,NA,NA,NA,NA
2024-05-15T03:45:00Z,0,0,0,NA,NA,NA,NA
2024-05-15T04:00:00Z,0,0,0,NA,NA,NA,NA
2024-05-15T04:15:00Z,0,0,0,NA,NA,NA,NA
2024-05-15T04:30:00Z,0,0,0,NA,NA,NA,NA
2024-05-15T04:45:00Z,0,0,0,NA,NA,NA,NA
2024-05-15T05:00:00Z,0,0,0,NA,NA,NA,NA
2024-05-15T05:15:00Z,0,0,0,NA,NA,NA,NA
2024-05-15T05:30:00Z,0,0,0,NA,NA,NA,NA
2024-05-15T05:45:00Z,30,3,0,NA,NA,NA,NA
2024-05-15T06:00:00Z,80,4,0,NA,NA,NA,NA
2024-05-15T06:15:00Z,130,71,0,NA,NA,NA,NA
2024-05-15T06:30:00Z,200,136,0,NA,NA,NA,NA
2024-05-15T06:45:00Z,310,202,30,NA,NA,NA,NA
2024-05-15T07:00:00Z,450,269,80,NA,NA,NA,NA
2024-05-15T07:15:00Z,630,373,130,NA,NA,NA,NA
2024-05-15T07:30:00Z,820,479,200,NA,NA,NA,NA
2024-05-15T07:45:00Z,990,585,310,NA,NA,NA,NA
2024-05-15T08:00:00Z,1280,691,450,NA,NA,NA,NA
2024-05-15T08:15:00Z,1520,854,630,NA,NA,NA,NA
2024-05-15T08:30:00Z,1770,1018,820,NA,NA,NA,NA
2024-05-15T08:45:00Z,1990,1182,990,NA,NA,NA,NA
2024-05-15T09:00:00Z,2210,1347,1280,NA,NA,NA,NA
2024-05-15T09:15:00Z,2390,1535,1520,NA,NA,NA,NA
2024-05-15T09:30:00Z,2600,1721,1770,NA,NA,NA,NA
2024-05-15T09:45:00Z,2760,1911,1990,NA,NA,NA,NA
2024-05-15T10:00:00Z,2870,2097,2210,NA,NA,NA,NA
2024-05-15T10:15:00Z,3060,2270,2390,NA,NA,NA,NA
2024-05-15T10:30:00Z,3270,2439,2600,NA,NA,NA,NA
2024-05-15T10:45:00Z,3390,2610,2760,NA,NA,NA,NA
2024-05-15T11:00:00Z,2540,2784,2870,NA,NA,NA,NA
2024-05-15T11:15:00Z,2630,2857,3060,NA,NA,NA,NA
2024-05-15T11:30:00Z,2630,2932,3270,NA,NA,NA,NA
2024-05-15T11:45:00Z,2720,3009,3390,NA,NA,NA,NA
2024-05-15T12:00:00Z,2720,3082,2540,NA,NA,NA,NA
2024-05-15T12:15:00Z,2750,3161,2630,NA,NA,NA,NA
2024-05-15T12:30:00Z,2720,3243,2630,NA,NA,NA,NA
2024-05-15T12:45:00Z,2670,3324,2720,NA,NA,NA,NA
2024-05-15T13:00:00Z,2740,3406,2720,NA,NA,NA,NA
2024-05-15T13:15:00Z,2840,3439,2750,NA,NA,NA,NA
2024-05-15T13:30:00Z,2700,3469,2720,NA,NA,NA,NA
2024-05-15T13:45:00Z,2540,3499,2670,NA,NA,NA,NA
2024-05-15T14:00:00Z,2590,3532,2740,NA,NA,NA,NA
2024-05-15T14:15:00Z,2560,3306,2840,NA,NA,NA,NA
2024-05-15T14:30:00Z,2550,3081,2700,NA,NA,NA,NA
2024-05-15T14:45:00Z,2520,2859,2540,NA,NA,NA,NA
