datetime,actual,forecast_d1,forecast_d,error_d1,error_d,foccsi
2024-05-15T01:00:00Z,0,0,0,0,0,0
2024-05-15T01:15:00Z,0,0,0,0,0,0
2024-05-15T01:30:00Z,0,0,0,0,0,0
2024-05-15T01:45:00Z,0,0,0,0,0,0
2024-05-15T02:00:00Z,0,0,0,0,0,0
2024-05-15T02:15:00Z,0,0,0,0,0,0
2024-05-15T02:30:00Z,0,0,0,0,0,0
2024-05-15T02:45:00Z,0,0,0,0,0,0
2024-05-15T03:00:00Z,0,0,0,0,0,0
2024-05-15T03:15:00Z,0,0,0,0,0,0
2024-05-15T03:30:00Z,0,0,0,0,0,0
2024-05-15T03:45:00Z,0,0,0,0,0,0
2024-05-15T04:00:00Z,0,0,0,0,0,0
2024-05-15T04:15:00Z,0,0,0,0,0,0
2024-05-15T04:30:00Z,0,0,0,0,0,0
2024-05-15T04:45:00Z,0,0,0,0,0,0
2024-05-15T05:00:00Z,0,0,0,0,0,0
2024-05-15T05:15:00Z,0,0,0,0,0,0
2024-05-15T05:30:00Z,0,0,0,0,0,0
2024-05-15T05:45:00Z,30,3,0,27,30,0.15000000000000013
2024-05-15T06:00:00Z,80,4,0,76,80,0.20000000000000018
2024-05-15T06:15:00Z,130,71,0,59,130,3.5500000000000034
2024-05-15T06:30:00Z,200,136,0,64,200,6.800000000000006
2024-05-15T06:45:00Z,310,202,30,108,280,38.60000000000001
2024-05-15T07:00:00Z,450,269,80,181,370,89.45000000000002
2024-05-15T07:15:00Z,630,373,130,257,500,142.15
2024-05-15T07:30:00Z,820,479,200,341,620,213.95000000000002
2024-05-15T07:45:00Z,990,585,310,405,680,323.75
2024-05-15T08:00:00Z,1280,691,450,589,830,462.05
2024-05-15T08:15:00Z,1520,854,630,666,890,641.2
2024-05-15T08:30:00Z,1770,1018,820,752,950,829.9000000000001
2024-05-15T08:45:00Z,1990,1182,990,808,1000,999.6
2024-05-15T09:00:00Z,2210,1347,1280,863,930,1283.3500000000001
2024-05-15T09:15:00Z,2390,1535,1520,855,870,1520.75
2024-05-15T09:30:00Z,2600,1721,1770,879,830,1767.5500000000002
2024-05-15T09:45:00Z,2760,1911,1990,849,770,1986.0500000000002
2024-05-15T10:00:00Z,2870,2097,2210,773,660,2204.35
2024-05-15T10:15:00Z,3060,2270,2390,790,670,2384
2024-05-15T10:30:00Z,3270,2439,2600,831,670,2591.9500000000003
2024-05-15T10:45:00Z,3390,2610,2760,780,630,2752.5
2024-05-15T11:00:00Z,2540,2784,2870,244,330,2865.7000000000003
2024-05-15T11:15:00Z,2630,2857,3060,227,430,3049.8500000000004
2024-05-15T11:30:00Z,2630,2932,3270,302,640,3253.1000000000004
2024-05-15T11:45:00Z,2720,3009,3390,289,670,3370.9500000000003
2024-05-15T12:00:00Z,2720,3082,2540,362,180,2567.1000000000004
2024-05-15T12:15:00Z,2750,3161,2630,411,120,2656.55
2024-05-15T12:30:00Z,2720,3243,2630,523,90,2660.65
2024-05-15T12:45:00Z,2670,3324,2720,654,50,2750.2000000000003
2024-05-15T13:00:00Z,2740,3406,2720,666,20,2754.3
2024-05-15T13:15:00Z,2840,3439,2750,599,90,2784.4500000000003
2024-05-15T13:30:00Z,2700,3469,2720,769,20,2757.4500000000003
2024-05-15T13:45:00Z,2540,3499,2670,959,130,2711.4500000000003
2024-05-15T14:00:00Z,2590,3532,2740,942,150,2779.6000000000004
2024-05-15T14:15:00Z,2560,3306,2840,746,280,2863.3
2024-05-15T14:30:00Z,2550,3081,2700,531,150,2719.05
2024-05-15T14:45:00Z,2520,2859,2540,339,20,2555.9500000000003
2024-05-15T15:00:00Z,1770,2634,2590,864,820,2592.2000000000003
2024-05-15T15:15:00Z,1630,2578,2560,948,930,2560.9
2024-05-15T15:30:00Z,1460,2518,2550,1058,1090,2548.4
2024-05-15T15:45:00Z,1080,2462,2520,1382,1440,2517.1
2024-05-15T16:00:00Z,880,2402,1770,1522,890,1801.6000000000001
2024-05-15T16:15:00Z,890,2312,1630,1422,740,1664.1000000000001
2024-05-15T16:30:00Z,740,2220,1460,1480,720,1498
