datetime,forecast_d1,forecast_d,actual
2024-05-15 01:00,0,0,0
2024-05-15 01:15,0,0,0
2024-05-15 01:30,0,0,0
2024-05-15 01:45,0,0,0
2024-05-15 02:00,0,0,0
2024-05-15 02:15,0,0,0
2024-05-15 02:30,0,0,0
2024-05-15 02:45,0,0,0
2024-05-15 03:00,0,0,0
2024-05-15 03:15,0,0,0
2024-05-15 03:30,0,0,0
2024-05-15 03:45,0,0,0
2024-05-15 04:00,0,0,0
2024-05-15 04:15,0,0,0
2024-05-15 04:30,0,0,0
2024-05-15 04:45,0,0,0
2024-05-15 05:00,0,0,0
2024-05-15 05:15,0,0,0
2024-05-15 05:30,0,0,0
2024-05-15 05:45,3,0,30
2024-05-15 06:00,4,0,80
2024-05-15 06:15,71,0,130
2024-05-15 06:30,136,0,200
2024-05-15 06:45,202,30,310
2024-05-15 07:00,269,80,450
2024-05-15 07:15,373,130,630
2024-05-15 07:30,479,200,820
2024-05-15 07:45,585,310,990
2024-05-15 08:00,691,450,1280
2024-05-15 08:15,854,630,1520
2024-05-15 08:30,1018,820,1770
2024-05-15 08:45,1182,990,1990
2024-05-15 09:00,1347,1280,2210
2024-05-15 09:15,1535,1520,2390
2024-05-15 09:30,1721,1770,2600
2024-05-15 09:45,1911,1990,2760
2024-05-15 10:00,2097,2210,2870
2024-05-15 10:15,2270,2390,3060
2024-05-15 10:30,2439,2600,3270
2024-05-15 10:45,2610,2760,3390
2024-05-15 11:00,2784,2870,2540
2024-05-15 11:15,2857,3060,2630
2024-05-15 11:30,2932,3270,2630
2024-05-15 11:45,3009,3390,2720
2024-05-15 12:00,3082,2540,2720
2024-05-15 12:15,3161,2630,2750
2024-05-15 12:30,3243,2630,2720
2024-05-15 12:45,3324,2720,2670
2024-05-15 13:00,3406,2720,2740
2024-05-15 13:15,3439,2750,2840
2024-05-15 13:30,3469,2720,2700
2024-05-15 13:45,3499,2670,2540
2024-05-15 14:00,3532,2740,2590
2024-05-15 14:15,3306,2840,2560
2024-05-15 14:30,3081,2700,2550
2024-05-15 14:45,2859,2540,2520
2024-05-15 15:00,2634,2590,1770
2024-05-15 15:15,2578,2560,1630
2024-05-15 15:30,2518,2550,1460
2024-05-15 15:45,2462,2520,1080
2024-05-15 16:00,2402,1770,880
2024-05-15 16:15,2312,1630,890
2024-05-15 16:30,2220,1460,740
2024-05-15 16:45,2127,1080,680
2024-05-15 17:00,2036,880,790
2024-05-15 17:15,1849,890,840
2024-05-15 17:30,1666,740,730
2024-05-15 17:45,1478,680,680
2024-05-15 18:00,1291,790,1170
2024-05-15 18:15,1186,840,1100
2024-05-15 18:30,1083,730,1000
2024-05-15 18:45,979,680,790
2024-05-15 19:00,875,1170,740
2024-05-15 19:15,782,1100,570
2024-05-15 19:30,688,1000,510
2024-05-15 19:45,595,790,400
2024-05-15 20:00,499,740,320
2024-05-15 20:15,432,570,180
2024-05-15 20:30,364,510,130
2024-05-15 20:45,295,400,80
2024-05-15 21:00,225,320,30
2024-05-15 21:15,172,180,0
2024-05-15 21:30,117,130,0
2024-05-15 21:45,65,80,0
2024-05-15 22:00,9,30,0
2024-05-15 22:15,6,0,0
2024-05-15 22:30,3,0,0
2024-05-15 22:45,1,0,0
2024-05-15 23:00,0,0,0
2024-05-15 23:15,0,0,0
2024-05-15 23:30,0,0,0
2024-05-15 23:45,0,0,0
2024-05-16 00:00,0,0,0
2024-05-16 00:15,0,0,0
2024-05-16 00:30,0,0,0
2024-05-16 00:45,0,0,0
2024-05-16 01:00,0,0,0
2024-05-16 01:15,0,0,0
2024-05-16 01:30,0,0,0
2024-05-16 01:45,0,0,0
2024-05-16 02:00,0,0,0
2024-05-16 02:15,0,0,0
2024-05-16 02:30,0,0,0
2024-05-16 02:45,0,0,0
2024-05-16 03:00,0,0,0
2024-05-16 03:15,0,0,0
2024-05-16 03:30,0,0,0
2024-05-16 03:45,0,0,0
2024-05-16 04:00,0,0,0
2024-05-16 04:15,0,0,0
2024-05-16 04:30,0,0,0
2024-05-16 04:45,0,0,0
2024-05-16 05:00,0,0,0
2024-05-16 05:15,0,0,0
2024-05-16 05:30,0,0,20
2024-05-16 05:45,0,0,70
2024-05-16 06:00,4,0,120
2024-05-16 06:15,44,0,180
2024-05-16 06:30,82,20,260
2024-05-16 06:45,122,70,360
2024-05-16 07:00,160,120,480
2024-05-16 07:15,222,180,630
2024-05-16 07:30,285,260,820
2024-05-16 07:45,344,360,950
2024-05-16 08:00,404,480,1120
2024-05-16 08:15,588,630,1350
2024-05-16 08:30,770,820,1310
2024-05-16 08:45,954,950,1290
2024-05-16 09:00,1137,1120,1420
2024-05-16 09:15,1289,1350,1660
2024-05-16 09:30,1442,1310,1810
2024-05-16 09:45,1592,1290,1800
2024-05-16 10:00,1745,1420,1960
2024-05-16 10:15,1883,1660,2380
2024-05-16 10:30,2023,1810,2690
2024-05-16 10:45,2166,1800,2900
2024-05-16 11:00,2304,1960,2470
2024-05-16 11:15,2498,2380,2510
2024-05-16 11:30,2688,2690,1660
2024-05-16 11:45,2879,2900,1160
2024-05-16 12:00,3072,2470,1100
2024-05-16 12:15,3153,2510,1250
2024-05-16 12:30,3234,1660,1350
2024-05-16 12:45,3316,1160,1460
2024-05-16 13:00,3396,1100,1410
2024-05-16 13:15,3425,1250,1470
2024-05-16 13:30,3459,1350,1400
2024-05-16 13:45,3488,1460,1180
2024-05-16 14:00,3519,1410,1170
2024-05-16 14:15,3264,1470,1100
2024-05-16 14:30,3012,1400,1230
2024-05-16 14:45,2759,1180,1010
2024-05-16 15:00,2504,1170,860
2024-05-16 15:15,2451,1100,890
2024-05-16 15:30,2394,1230,920
2024-05-16 15:45,2340,1010,870
2024-05-16 16:00,2285,860,930
2024-05-16 16:15,2195,890,1070
2024-05-16 16:30,2109,920,1010
2024-05-16 16:45,2021,870,780
2024-05-16 17:00,1934,930,800
2024-05-16 17:15,1807,1070,700
2024-05-16 17:30,1684,1010,640
2024-05-16 17:45,1560,780,520
2024-05-16 18:00,1436,800,500
2024-05-16 18:15,1320,700,550
2024-05-16 18:30,1204,640,380
2024-05-16 18:45,1089,520,310
2024-05-16 19:00,974,500,220
2024-05-16 19:15,870,550,170
2024-05-16 19:30,768,380,100
2024-05-16 19:45,666,310,120
2024-05-16 20:00,561,220,80
2024-05-16 20:15,477,170,30
2024-05-16 20:30,390,100,20
2024-05-16 20:45,303,120,10
2024-05-16 21:00,219,80,0
2024-05-16 21:15,167,30,0
2024-05-16 21:30,113,20,0
2024-05-16 21:45,62,10,0
2024-05-16 22:00,8,0,0
2024-05-16 22:15,6,0,0
2024-05-16 22:30,4,0,0
2024-05-16 22:45,1,0,0
2024-05-16 23:00,0,0,0
2024-05-16 23:15,0,0,0
2024-05-16 23:30,0,0,0
2024-05-16 23:45,0,0,0
2024-05-17 00:00,0,0,0
2024-05-17 00:15,0,0,0
2024-05-17 00:30,0,0,0
2024-05-17 00:45,0,0,0
2024-05-17 01:00,0,0,0
2024-05-17 01:15,0,0,0
2024-05-17 01:30,0,0,0
2024-05-17 01:45,0,0,0
2024-05-17 02:00,0,0,0
2024-05-17 02:15,0,0,0
2024-05-17 02:30,0,0,0
2024-05-17 02:45,0,0,0
2024-05-17 03:00,0,0,0
2024-05-17 03:15,0,0,0
2024-05-17 03:30,0,0,0
2024-05-17 03:45,0,0,0
2024-05-17 04:00,0,0,0
2024-05-17 04:15,0,0,0
2024-05-17 04:30,0,0,0
2024-05-17 04:45,0,0,0
2024-05-17 05:00,0,0,0
2024-05-17 05:15,0,0,0
2024-05-17 05:30,0,0,10
2024-05-17 05:45,3,0,50
2024-05-17 06:00,6,0,100
2024-05-17 06:15,63,0,170
2024-05-17 06:30,121,10,250
2024-05-17 06:45,179,50,360
2024-05-17 07:00,236,100,390
2024-05-17 07:15,326,170,510
2024-05-17 07:30,413,250,530
2024-05-17 07:45,502,360,640
2024-05-17 08:00,592,390,900
2024-05-17 08:15,735,510,1230
2024-05-17 08:30,878,530,1470
2024-05-17 08:45,1024,640,1580
2024-05-17 09:00,1165,900,1720
2024-05-17 09:15,1321,1230,1950
2024-05-17 09:30,1473,1470,2360
2024-05-17 09:45,1628,1580,2530
2024-05-17 10:00,1781,1720,2660
2024-05-17 10:15,1923,1950,2930
2024-05-17 10:30,2068,2360,3000
2024-05-17 10:45,2211,2530,2990
2024-05-17 11:00,2354,2660,3120
2024-05-17 11:15,2325,2930,3320
2024-05-17 11:30,2293,3000,3470
2024-05-17 11:45,2260,2990,3440
2024-05-17 12:00,2229,3120,3390
2024-05-17 12:15,2289,3320,3440
2024-05-17 12:30,2350,3470,3350
2024-05-17 12:45,2410,3440,3420
2024-05-17 13:00,2472,3390,2780
2024-05-17 13:15,2495,3440,2910
2024-05-17 13:30,2519,3350,2850
2024-05-17 13:45,2541,3420,2560
2024-05-17 14:00,2566,2780,2930
2024-05-17 14:15,2305,2910,2660
2024-05-17 14:30,2045,2850,2670
2024-05-17 14:45,1782,2560,2280
2024-05-17 15:00,1523,2930,2140
2024-05-17 15:15,1489,2660,1930
2024-05-17 15:30,1454,2670,1790
2024-05-17 15:45,1422,2280,1220
2024-05-17 16:00,1386,2140,1150
2024-05-17 16:15,1335,1930,1370
2024-05-17 16:30,1281,1790,1330
2024-05-17 16:45,1229,1220,1060
2024-05-17 17:00,1175,1150,1080
2024-05-17 17:15,998,1370,1220
2024-05-17 17:30,822,1330,950
2024-05-17 17:45,644,1060,740
2024-05-17 18:00,467,1080,650
2024-05-17 18:15,433,1220,580
2024-05-17 18:30,399,950,560
2024-05-17 18:45,365,740,450
2024-05-17 19:00,328,650,400
2024-05-17 19:15,296,580,330
2024-05-17 19:30,262,560,290
2024-05-17 19:45,230,450,250
2024-05-17 20:00,198,400,230
2024-05-17 20:15,173,330,170
2024-05-17 20:30,151,290,110
2024-05-17 20:45,126,250,50
2024-05-17 21:00,105,230,20
2024-05-17 21:15,79,170,0
2024-05-17 21:30,54,110,0
2024-05-17 21:45,29,50,0
2024-05-17 22:00,5,20,0
2024-05-17 22:15,2,0,0
2024-05-17 22:30,0,0,0
2024-05-17 22:45,0,0,0
2024-05-17 23:00,0,0,0
2024-05-17 23:15,0,0,0
2024-05-17 23:30,0,0,0
2024-05-17 23:45,0,0,0
2024-05-18 00:00,0,0,0
2024-05-18 00:15,0,0,0
2024-05-18 00:30,0,0,0
2024-05-18 00:45,0,0,0
2024-05-18 01:00,0,0,0
2024-05-18 01:15,0,0,0
2024-05-18 01:30,0,0,0
2024-05-18 01:45,0,0,0
2024-05-18 02:00,0,0,0
2024-05-18 02:15,0,0,0
2024-05-18 02:30,0,0,0
2024-05-18 02:45,0,0,0
2024-05-18 03:00,0,0,0
2024-05-18 03:15,0,0,0
2024-05-18 03:30,0,0,0
